T,O,H,L,C,V,BV
2015-12-12,420.0,420.0,420.0,420.0,0.0003038,0.127596
2015-12-13,420.0,430.0,420.0,430.0,0.13404033333333332,60.11459052333333
2015-12-14,420.0,440.0,420.0,440.0,0.26777686666666667,120.10158504666666
2015-12-15,420.0,450.0,420.0,450.0,0.4015134,180.08857957
2015-12-16,450.0,470.0,450.0,451.0,0.07426694,34.1361383
2015-12-17,454.5,464.5,454.5,455.0,0.037139375,17.070779545
2015-12-18,459.0,459.0,459.0,459.0,1.181e-05,0.00542079
2015-12-19,451.0,451.0,451.0,451.0,0.01020416,4.60207616
2015-12-20,450.0,450.0,450.0,450.0,0.01391923,6.2636535
2015-12-21,448.3333333333333,448.3333333333333,446.6666666666667,446.6666666666667,0.01234921,5.5425311
2015-12-22,446.6666666666667,446.6666666666667,443.3333333333333,443.3333333333333,0.01077919,4.8214087
2015-12-23,445.0,445.0,440.0,440.0,0.00920917,4.1002863000000005
2015-12-24,443.3333333333333,443.3333333333333,436.6666666666667,436.6666666666667,0.007639149999999999,3.3791639
2015-12-25,441.6666666666667,441.6666666666667,433.3333333333333,433.3333333333333,0.006069129999999999,2.6580415
2015-12-26,440.0,440.0,430.0,430.0,0.00449911,1.9369191
2015-12-27,426.6666666666667,434.68155333333334,395.20369999666667,428.01488666666665,0.09474750333333334,36.03662869666666
2015-12-28,413.3333333333333,429.3631066666667,360.40739999333334,426.02977333333337,0.1849958966666667,70.13633829333332
2015-12-29,400.0,424.04466,325.61109999,424.04466,0.27524429,104.23604789
2015-12-30,424.8708214,430.71088659,424.8708214,429.09812,0.06513359,27.75137072
2015-12-31,427.55287903,430.472911625,427.55287903,429.66652833,0.03413141,14.548837395
2016-01-01,430.23493666,430.23493666,430.23493666,430.23493666,0.00312923,1.34630407
2016-01-02,407.477515,407.477515,407.477515,407.477515,6.519e-05,0.02656345
2016-01-03,418.692683625,418.692683625,411.49347056,418.692683625,0.137573635,59.141410025
2016-01-04,429.90785225,429.90785225,415.50942612,429.90785225,0.27508208,118.2562566
2016-01-05,404.71060653,411.94425,404.71060653,411.94425,0.01158113,4.72932483
2016-01-06,424.555303265,428.472125,420.10505326500004,423.721875,0.026813119999999996,11.70362316
2016-01-07,444.4,445.0,435.4995,435.4995,0.04204511,18.67792149
2016-01-08,446.45,446.75,441.99975,441.99975,0.13968847,62.56062362
2016-01-09,448.5,448.5,448.5,448.5,0.23733183,106.44332575
2016-01-10,449.36255899,449.36255899,441.51532134,442.97002703,0.15406953,68.34277377
2016-01-11,446.85793704,450.69208889,446.80488834,446.80488834,0.0084527,3.78072768
2016-01-12,441.9659306,442.85963802,441.89,441.89,1.06598486,471.15210133
2016-01-13,433.8554,436.92328928,400.53,436.92328928,1.93084495,810.67221714
2016-01-14,432.65506369,432.65506369,428.53476603,428.53476603,0.21440495,91.93932775
2016-01-15,426.65706617,428.13915154,362.93148389,374.04594286,3.49935265,1383.87098196
2016-01-16,363.78973887,397.58603462,360.48471263,397.58603462,3.82263069,1419.59995711
2016-01-17,360.0,365.0,360.0,365.0,0.00095,0.345
2016-01-18,370.0,393.0,370.0,393.0,0.03089718,11.9151847
2016-01-19,387.0,387.0,383.0,383.0,0.0013022,0.4987514
2016-01-20,393.0,448.0,393.0,448.0,0.02464393,9.92623738
2016-01-21,447.99999999,447.99999999,365.0,403.87658977,0.33566563,144.58219034
2016-01-22,433.29219658333335,433.29219658333335,377.9588632566667,403.87658977,0.24047844333333335,103.13341386000002
2016-01-23,418.58439317666665,418.58439317666665,390.9177265133333,403.87658977,0.14529125666666667,61.68463738000001
2016-01-24,403.87658977,403.87658977,403.87658977,403.87658977,0.05010407,20.2358609
2016-01-25,402.87934599333335,403.1400438,402.0838892466667,402.0838892466667,0.12238799666666667,49.063236266666664
2016-01-26,401.8821022166667,402.40349783,400.29118872333333,400.29118872333333,0.19467192333333333,77.89061163333332
2016-01-27,400.88485844,401.66695186,398.4984882,398.4984882,0.26695585,106.717987
2016-01-28,388.73555797,388.73555797,367.98368492,376.4643154,0.22133267,83.03273022
2016-01-29,375.0,388.47343667,372.16582968,372.16582968,0.02739073,10.59631596
2016-01-30,381.5,381.5,381.5,381.5,0.00057064,0.21769916
2016-01-31,371.0,371.0,371.0,371.0,0.00265931,0.98660401
2016-02-01,375.83446255,375.83446255,372.32981973,372.32981973,0.00011195,0.04187647
2016-02-02,372.207231275,374.245261925,370.454909865,370.454909865,0.016672965,6.14573984
2016-02-03,368.58,372.6560613,368.58,368.58,0.03323398,12.24960321
2016-02-04,364.00000001,387.05088515,360.49846112,387.05088515,1.00477206,375.26644079
2016-02-05,379.43432859,395.0,378.72367642,383.26340553,0.73695751,285.77535556
2016-02-06,370.5644101,379.490381,370.5644101,379.490381,0.16595331,62.07685197
2016-02-07,374.73015411,374.73015411,374.73015411,374.73015411,0.01142127,4.27989424
2016-02-08,374.73015411,376.0,366.9999997,376.0,0.46827011,174.44606543
2016-02-09,367.0,377.999359,367.0,377.99,0.33078789,124.7094838
2016-02-10,377.99,384.99999999,368.96,384.99999999,0.96913394,365.58314337
2016-02-11,370.80000001,384.95,369.78000001,384.95,0.18383951,70.7030677
2016-02-12,372.90000122,443.0,360.0999999,441.99999999,1.15024971,453.03379455
2016-02-13,403.99999998,403.99999999,403.99999998,403.99999999,0.00017424,0.07039294
2016-02-14,381.0,381.0,381.0,381.0,0.03,11.43
2016-02-15,387.00000002,387.00000002,387.0,387.0,0.00398741,1.54312767
2016-02-16,409.99999999,410.0,409.99999999,410.0,0.00010491,0.04301309
2016-02-17,410.0,421.999,388.013,421.999,0.19191064,77.43771864
2016-02-18,421.999,437.5,403.501,437.5,0.050368,21.29968065
2016-02-19,410.0,437.499999,399.584,437.499999,0.22821497,97.26169623
2016-02-20,436.997,436.997,435.0,436.84606,0.01796038,7.83858694
2016-02-21,436.997,443.0,436.997,442.977,0.26747246,118.18417902
2016-02-22,442.977,443.0,442.977,443.0,0.29159424,129.17407322
2016-02-23,416.657,440.0,415.0,415.0,0.03099713,13.22484247
2016-02-24,430.0,430.0,415.0,415.0,0.16886676,71.40734972
2016-02-25,404.929,405.008,396.3,397.304,0.41439507,165.72302719
2016-02-26,400.0,427.5,400.0,427.5,0.56006372,238.47695378
2016-02-27,427.5,434.411,411.0,411.0,0.06687397,28.61958812
2016-02-28,430.95,438.911,419.25,427.0,0.6141083949999999,268.484523365
2016-02-29,434.4,443.411,427.5,443.0,1.16134282,508.34945861
2016-03-01,428.0,433.51,428.0,433.2,0.16139396,69.46786557
2016-03-02,433.2,442.5,428.134,442.5,0.77648428,341.44975315
2016-03-03,425.0,430.0,406.0,406.0,0.4730905,200.69306684
2016-03-04,406.0,428.0,405.55666,405.557,2.7099942,1103.76146551
2016-03-05,388.88888888,388.88888888,382.69,382.69,1.50320872,577.11001656
2016-03-06,405.0,427.9,398.0,409.75,0.74540934,311.19821937
2016-03-07,405.0,410.0,405.0,410.0,0.06435845,26.25128945
2016-03-08,409.0,427.0,409.0,409.0,0.09985189,40.85109619
2016-03-09,397.0,412.5,397.0,412.5,0.00549341,2.26442877
2016-03-10,412.43327523,427.999,397.0,397.0,2.38566164,1019.7048768
2016-03-11,397.02,420.22,397.0,420.22,0.19355337,79.03643161
2016-03-12,414.81,414.81,397.09999,397.09999,0.09267351,38.44152087
2016-03-13,415.46,415.46,397.09999,397.1,0.43770235,177.34879533
2016-03-14,415.46,418.12,415.46,418.12,0.07527722,31.32132603
2016-03-15,418.12,418.12,411.87,411.87,0.02149,8.9183988
2016-03-16,411.87,411.87,411.87,411.87,0.00911095,3.75252697
2016-03-17,418.7,420.22,418.7,420.22,0.17535233,73.55534321
2016-03-18,427.888,427.888,410.39,410.39,0.12613231,52.11537497
2016-03-19,420.64866666666666,420.64866666666666,408.98333333333335,408.98333333333335,0.09061277333333334,37.39366655333333
2016-03-20,413.40933333333334,413.40933333333334,407.57666666666665,407.57666666666665,0.05509323666666667,22.671958136666667
2016-03-21,406.17,406.17,406.17,406.17,0.0195737,7.95024972
2016-03-22,406.17,414.37,406.17,414.37,0.10220784,42.32325836
2016-03-23,418.0,421.27,418.0,421.27,0.04046642,16.94139954
2016-03-24,412.99,412.99,412.99,412.99,0.06092793,25.1626258
2016-03-25,412.92,427.888,412.231,412.231,0.35594972,147.08264216
2016-03-26,412.57550000000003,427.887999995,412.231,420.059499995,0.299533565,123.947686675
2016-03-27,412.231,427.88799999,412.231,427.88799999,0.24311741,100.81273119
2016-03-28,419.2611,427.88799999,419.2611,419.2611,0.01211424,5.12700849
2016-03-29,419.262,419.262,419.2611,419.2611,0.09195266,38.55218739
2016-03-30,417.5016825,417.578,414.975,417.578,0.35241137,146.29313556
2016-03-31,417.61041875,417.75961499,412.8752324,412.8752324,0.06199578,25.89393526
2016-04-01,417.685016855,419.269278745,415.31742368000005,415.4376162,0.206737475,86.459564465
2016-04-02,417.75961496,420.7789425,417.75961496,418.0,0.35147917,147.02519367
2016-04-03,418.0,418.0,418.0,418.0,0.03354739,14.02280902
2016-04-04,418.0,418.0,418.0,418.0,0.00166,0.69388
2016-04-05,420.78652875,421.20630125,420.78652875,421.20630125,0.1844162,77.6721759
2016-04-06,421.2138875,424.016,421.2138875,423.575,0.09808166,41.54243607
2016-04-07,421.21009437500004,424.02775638,421.21009437500004,422.39065062500003,0.07497835,31.71082397
2016-04-08,421.20630125,424.03951276,421.20630125,421.20630125,0.05187504,21.87921187
2016-04-09,420.206,420.206,416.78743422,416.78743422,2.42281573,1012.63286332
2016-04-10,416.08039862,416.08039862,416.08039862,416.08039862,0.0001,0.04160803
2016-04-11,420.26254109,421.72377197000003,420.26254109,421.72377197000003,0.10875476,46.337224785
2016-04-12,424.44468356,427.36714532,424.44468356,427.36714532,0.21740952,92.63284154
2016-04-13,427.88799999,428.403,421.34286059,421.34286059,0.31860589,135.00647952
2016-04-14,421.29010005,429.216,421.29010005,429.216,0.1820012,78.11781754
2016-04-15,428.616,435.0,415.611,430.0,1.26183667,538.83458763
2016-04-16,430.648,430.648,430.648,430.648,0.00280315,1.20717092
2016-04-17,430.99999,430.99999,430.99999,430.99999,0.59445731,256.21109466
